week,stock,buy_price,sell_price,qty,pnl,pnl_pct,score,mom5,rsi
2024-12-16,godrejcp,1112.3499755859375,1091.75,1,-25.01,-1.85,0.9959,-0.0137,21.9
2025-03-17,indusindbk,677.4000244140625,692.7000122070312,1,12.56,2.26,4.3502,-0.2769,11.5
2025-03-24,indusindbk,669.4500122070312,655.2999877929688,2,-33.6,-2.11,1.9952,-0.0117,13.0
2025-04-21,muthootfin,2203.60009765625,2191.39990234375,1,-20.99,-0.55,2.3746,0.0297,42.8
2025-04-21,glenmark,1368.800048828125,1412.5,1,38.14,3.19,1.8169,-0.0054,37.8
2026-04-27,hcltech,1228.199951171875,1200.199951171875,1,-32.86,-2.28,2.4514,-0.1401,29.0
2026-05-04,vedl,294.6499938964844,316.3999938964844,1,20.53,7.38,6.1799,-0.6032,16.6
2026-05-25,lici,418.6749877929688,415.0,2,-10.68,-0.88,4.291,-0.471,12.1
