date,value
2024-08-01,10000.0
2024-08-05,10000.0
2024-08-12,10000.0
2024-08-19,10000.0
2024-08-26,10000.0
2024-09-02,10000.0
2024-09-09,10000.0
2024-09-16,10000.0
2024-09-23,10000.0
2024-10-07,10000.0
2024-10-14,10000.0
2024-10-21,10000.0
2024-10-28,10000.0
2024-11-04,10000.0
2024-11-11,10000.0
2024-11-25,10000.0
2024-12-02,10000.0
2024-12-09,10000.0
2024-12-16,9974.99182446289
2024-12-30,9974.99182446289
2025-01-06,9974.99182446289
2025-01-13,9974.99182446289
2025-01-20,9974.99182446289
2025-01-27,9974.99182446289
2025-02-03,9974.99182446289
2025-02-10,9974.99182446289
2025-02-17,9974.99182446289
2025-03-03,9974.99182446289
2025-03-10,9974.99182446289
2025-03-17,9987.551612182617
2025-03-24,9953.95256335449
2025-04-07,9953.95256335449
2025-04-21,9971.099719116208
2025-04-28,9971.099719116208
2025-05-05,9971.099719116208
2025-05-12,9971.099719116208
2025-05-19,9971.099719116208
2025-05-26,9971.099719116208
2025-06-02,9971.099719116208
2025-06-09,9971.099719116208
2025-06-16,9971.099719116208
2025-06-23,9971.099719116208
2025-06-30,9971.099719116208
2025-07-07,9971.099719116208
2025-07-14,9971.099719116208
2025-07-21,9971.099719116208
2025-07-28,9971.099719116208
2025-08-04,9971.099719116208
2025-08-11,9971.099719116208
2025-08-18,9971.099719116208
2025-09-01,9971.099719116208
2025-09-08,9971.099719116208
2025-09-15,9971.099719116208
2025-09-22,9971.099719116208
2025-09-29,9971.099719116208
2025-10-06,9971.099719116208
2025-10-13,9971.099719116208
2025-10-27,9971.099719116208
2025-11-10,9971.099719116208
2025-11-17,9971.099719116208
2025-11-24,9971.099719116208
2025-12-01,9971.099719116208
2025-12-08,9971.099719116208
2025-12-15,9971.099719116208
2025-12-22,9971.099719116208
2025-12-29,9971.099719116208
2026-01-05,9971.099719116208
2026-01-12,9971.099719116208
2026-01-19,9971.099719116208
2026-02-02,9971.099719116208
2026-02-09,9971.099719116208
2026-02-16,9971.099719116208
2026-02-23,9971.099719116208
2026-03-02,9971.099719116208
2026-03-09,9971.099719116208
2026-03-16,9971.099719116208
2026-03-23,9971.099719116208
2026-03-30,9971.099719116208
2026-04-06,9971.099719116208
2026-04-13,9971.099719116208
2026-04-20,9971.099719116208
2026-04-27,9938.24291931152
2026-05-04,9958.770819335936
2026-05-11,9958.770819335936
2026-05-18,9958.770819335936
2026-05-25,9948.086143798826
2026-06-01,9948.086143798826
2026-06-08,9948.086143798826
2026-06-15,9948.086143798826
2026-06-22,9948.086143798826
2026-06-29,9948.086143798826
2026-07-06,9948.086143798826
2026-07-13,9948.086143798826
2026-07-20,9948.086143798826
2026-07-27,9948.086143798826
2026-08-03,9948.086143798826
