date,pnl,pct,portfolio
2026-04-02,245.62,2.4562,10236.77
2026-04-09,267.29,2.6729,10493.92
2026-04-16,222.77,2.2277,10702.16
2026-04-23,60.76,0.6076,10750.65
2026-05-07,78.09,0.7809,10821.64
2026-05-14,59.69,0.5969,10879.15
2026-05-21,-9.32,-0.0932,10857.5
2026-05-28,-55.99,-0.5599,10799.21
2026-06-11,-28.08,-0.2808,10769.59
2026-06-18,0.51,0.0051,10766.64
2026-06-25,-33.84,-0.3384,10720.37
2026-07-02,-12.92,-0.1292,10703.41
2026-07-23,-29.78,-0.2978,10672.18
